demanda_id,produto_codigo,produto_descricao,lote,quantidade,unidade,venda_media,dias_estoque,data_vencimento,ultima_data_recolhimento,prazo_45dias_flag,stock_age_index,previsao_escoamento,tipo,origem_imagem,confidence,requires_manual_review,missing_fields,hectolitro_por_unidade,valor_unitario,total_hectolitro,total_reais,destinoWorkstation,justificativa_destino
a1b2c3d4-0001-4000-8000-000000000001,838,CHOPP BRAHMA CLARO BARRIL KEG 50L,LOT-838-20260806,3,cx,2.5,1.2,2026-08-06,2026-07-01,true,0.95,2026-08-06,validade,image_1.png,0.98,false,,0.5,85.0,1.5,255.0,Desvios,"Item crítico de validade em janela de recolhimento <= 45 dias demandando plano de ação urgente no CCO."
a1b2c3d4-0002-4000-8000-000000000002,23269,SKOL BEATS GT LONG NECK 269ML SIX-PACK,LOT-23269-20260818,5,cx,3.8,1.3,2026-08-18,2026-07-05,true,0.88,2026-08-18,validade,image_1.png,0.97,false,,0.01614,85.0,0.0807,425.0,Desvios,"Item com 13 dias para vencer, direcionado para ação de escoamento/desvio prioritário."
a1b2c3d4-0003-4000-8000-000000000003,21666,RED BULL TROPICAL BR LATA 250ML FOUR-PACK,LOT-21666-20260824,306,cx,16.1,19.0,2026-08-24,2026-07-10,true,0.84,2026-08-24,validade,image_1.png,0.96,false,,0.01,85.0,3.06,26010.0,Desvios,"Alto volume financeiro (R$ 26k) com vencimento em 19 dias em janela crítica de recolhimento."
a1b2c3d4-0004-4000-8000-000000000004,31795,BRUTAL FRUIT LONG NECK 275ML SIX-PACK,LOT-31795-20260918,19,cx,4.1,4.6,2026-09-18,2026-08-04,true,0.63,2026-08-22,validade,image_1.png,0.95,false,,0.0165,85.0,0.3135,1615.0,Fluxograma,"Item em janela de alerta (31-45d), mapeado para acompanhamento visual no fluxograma de demandas."
a1b2c3d4-0005-4000-8000-000000000005,31795,BRUTAL FRUIT LONG NECK 275ML SIX-PACK,LOT-31795-20260918,3,cx,4.1,0.7,2026-09-18,2026-08-19,false,0.63,2026-08-06,futuro_shelf,image_4.png,0.96,false,,0.0165,85.0,0.0495,255.0,Future Shelf / Conferente,"Lote em monitoramento de prateleira futura com 0.7 dias de estoque e conferência no pátio."
a1b2c3d4-0006-4000-8000-000000000006,31795,BRUTAL FRUIT LONG NECK 275ML SIX-PACK,LOT-31795-20260918,36,cx,4.1,8.8,2026-09-18,2026-08-19,false,0.63,2026-08-14,futuro_shelf,image_4.png,0.97,false,,0.0165,85.0,0.594,3060.0,Future Shelf / Conferente,"Saldo físico de picking de 36 caixas para atualização diária de contagem pelo conferente."
a1b2c3d4-0007-4000-8000-000000000007,9093,PEPSI TWIST LATA 350ML SH C/12 NPAL,LOT-9093-20260925,60,cx,5.9,10.2,2026-09-25,2026-08-26,false,0.58,2026-08-16,futuro_shelf,image_4.png,0.95,false,,0.042,45.0,2.52,2700.0,Gestão de Escoamento,"Item com Stock Age Index = 0.58 (< 0.60), enquadrado no alerta de giro acelerado para escoamento."
a1b2c3d4-0008-4000-8000-000000000008,347,SUKITA PET 1L CAIXA C/12,LOT-347-20260925,24,cx,11.3,2.1,2026-09-25,2026-08-26,false,0.58,2026-08-08,futuro_shelf,image_4.png,0.65,true,lote_conferencia,0.12,42.0,2.88,1008.0,Gestão de Escoamento,"Item envelhecido (Stock Age 0.58) necessitando de auditoria manual de OCR para confirmação de lote no CCO."
a1b2c3d4-0009-4000-8000-000000000009,9093,PEPSI TWIST LATA 350ML SH C/12 NPAL,LOT-9093-20260925,32,cx,5.9,5.4,2026-09-25,2026-08-26,false,0.58,2026-08-11,futuro_shelf,image_4.png,0.96,false,,0.042,45.0,1.344,1440.0,Future Shelf / Conferente,"Lote secundário de Pepsi Twist alocado para recontagem diária e liberação FEFO."
a1b2c3d4-0010-4000-8000-000000000010,18267,SODA LIMONADA ANTARCTICA PET 200ML,LOT-18267-20260926,8,cx,11.3,0.7,2026-09-26,2026-08-27,false,0.57,2026-08-06,futuro_shelf,image_4.png,0.98,false,,0.024,35.0,0.192,280.0,Gestão de Escoamento,"Item com menor Stock Age Index (0.57) e alto giro diário (11.3 cx/dia) demandando prioridade total de escoamento."
